credits,dept_num,instructor,keyword,session,term,title,university
3,POLI 212 001,"Ambler, John S.",polit,Full Term,Fall Semester 2017,INTRO TO COMPARATIVE POLITICS,rice university
2,POLI 307 001,"Alford, John R.",polit,Full Term,Fall Semester 2017,POLITICAL SCIENCE INTERNSHIP I,rice university
3,POLI 310 001,"Alford, John R.",polit,Full Term,Fall Semester 2017,THE BIOLOGY OF POLITICS,rice university
3,POLI 325 001,"Hayes, Matthew J.",polit,Full Term,Fall Semester 2017,AFRICAN AMERICAN POLITICS,rice university
3,POLI 421 001,"Hamm, Keith E.",polit,Full Term,Fall Semester 2017,CONTMPRY ISSUES AMER POLITICS,rice university
3,POLI 430 001,"Cuthbertson, Gilbert M.",polit,Full Term,Fall Semester 2017,SEMINAR IN TEXAS POLITICS,rice university
3,POLI 542 001,"Hamm, Keith E.",polit,Full Term,Fall Semester 2017,SUBNATIONAL POLITICS,rice university
3,POLI 593 001,"Hamm, Keith E.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 002,"Alford, John R.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 003,"Brace, Paul R.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 004,"Cuthbertson, Gilbert M.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 005,"Marschall, Melissa J.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 006,"Rusk, Jerrold G.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 007,"Stein, Robert M.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 008,"Wilson, Rick K.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 593 009,"Hayes, Matthew J.",polit,Full Term,Fall Semester 2017,DIRECTED READING-AMER POLITICS,rice university
3,POLI 597 001,"Stevenson, Randolph T.",polit,Full Term,Fall Semester 2017,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 597 002,,polit,Full Term,Fall Semester 2017,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 597 003,"Jones, Mark P.",polit,Full Term,Fall Semester 2017,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 597 004,,polit,Full Term,Fall Semester 2017,DIR READ-COMPARATIVE POLITICS,rice university
3,POLI 597 005,"Schwindt-Bayer, Leslie A.",polit,Full Term,Fall Semester 2017,DIR READ-COMPARATIVE POLITICS,rice university
1,POLI 599 001,"Stoll, Richard J.",polit,Full Term,Fall Semester 2017,TEACHING POLITICAL SCIENCE,rice university
2,AFSC 201 001,,power,Full Term,Fall Semester 2017,EVOLUTION OF AIR POWER I,rice university
2,AFSC 201 002,,power,Full Term,Fall Semester 2017,EVOLUTION OF AIR POWER I,rice university
1,COLL 117 001,"Webber, Katherine M.",power,Full Term,Fall Semester 2017,WIKIPEDIA EMPOWERMENT KNOWLDGE,rice university
3,BIOC 464 001,"Grande-Allen, Kathryn J.",race,Full Term,Fall Semester 2017,EXTRACELLULAR MATRIX,rice university
3,BIOC 523 001,"Grande-Allen, Kathryn J.",race,Full Term,Fall Semester 2017,EXTRACELLULAR MATRIC,rice university
3,BIOE 464 001,"Grande-Allen, Kathryn J.",race,Full Term,Fall Semester 2017,EXTRACELLULAR MATRIX,rice university
3,BIOE 524 001,"Grande-Allen, Kathryn J.",race,Full Term,Fall Semester 2017,EXTRACELLULAR MATRIX,rice university
3,ESCI 430 001,"Yeung, Laurence
Lee, Cin-Ty A.",race,Full Term,Fall Semester 2017,TRACE-ELEMENT& ISOTOPE GEOCHEM,rice university
3,ESCI 630 001,"Yeung, Laurence
Lee, Cin-Ty A.",race,Full Term,Fall Semester 2017,TRACE-ELEMENT& ISOTOPE GEOCHEM,rice university
3,HIST 421 001,"Byrd, Alexander X.",race,Full Term,Fall Semester 2017,"RACE, EDUCATION & SOCIETY",rice university
3,HIST 521 001,"Byrd, Alexander X.",race,Full Term,Fall Semester 2017,"RACE, EDUCATION & SOCIETY",rice university
4,HIST 558 001,"Makdisi, Ussama",race,Full Term,Fall Semester 2017,"RELIGION, RACE, & DIFFERENCE",rice university
3,SOCI 453 001,"Gorman, Bridget K.",race,Full Term,Fall Semester 2017,"RACE, MIGRATION, AND HEALTH",rice university
3,SOCI 553 001,"Gorman, Bridget K.",race,Full Term,Fall Semester 2017,"RACE, MIGRATION, AND HEALTH",rice university
3,FWIS 184 001,"Homewood, Nathanael J.",religi,First Year Writing,Fall Semester 2017,RELIGION AND SPORTS IN AMERICA,rice university
4,HIST 558 001,"Makdisi, Ussama",religi,Full Term,Fall Semester 2017,"RELIGION, RACE, & DIFFERENCE",rice university
3,RELI 101 001,"Kripal, Jeffrey J.",religi,Full Term,Fall Semester 2017,INTRO TO THE STUDY OF RELIGION,rice university
3,RELI 111 001,"Bongmba, Elias K.",religi,Full Term,Fall Semester 2017,INTRO AFRICAN RELIGIONS,rice university
3,RELI 301 001,"Stroup, John M.",religi,Full Term,Fall Semester 2017,NIETZSCHE & RELIGIOUS THOUGHT,rice university
3,RELI 334 001,"Parsons, William B.",religi,Full Term,Fall Semester 2017,PSYCHOLOGY OF RELIGION,rice university
3,RELI 395 001,"Stroup, John M.",religi,Full Term,Fall Semester 2017,LOSING YOUR RELIGION IN FILM,rice university
