credits,dept_num,instructor,keyword,term,title,university
3,JUS 353,Shabazz Sanders,inequ,Spring 2018,RaceSpace&ProductionInequality,arizona state university-tempe
3,JUS 405,Broberg,inequ,Spring 2018,"Inequality, Economy & Justice",arizona state university-tempe
3,POS 367,Bar,inequ,Spring 2018,World Pol & Global Inequalitie,arizona state university-tempe
3,CRJ 100,Robinson,justic,Spring 2018,Intro to Criminal Justice,arizona state university-tempe
3,CRJ 305,Robinson,justic,Spring 2018,"Gender,Crime&Criminal Justice",arizona state university-tempe
3,HST 302,Allen,justic,Spring 2018,"Topic: Media, Social Justice, and Peace",arizona state university-tempe
3,JUS 105,Shabazz Sanders,justic,Spring 2018,Intro to Justice Studies,arizona state university-tempe
3,JUS 301,Charron-Chenier,justic,Spring 2018,Research in Justice Studies,arizona state university-tempe
3,JUS 303,Duarte,justic,Spring 2018,Justice Theory,arizona state university-tempe
3,JUS 303,Quan,justic,Spring 2018,Justice Theory,arizona state university-tempe
3,JUS 303,Broberg,justic,Spring 2018,Justice Theory,arizona state university-tempe
3,JUS 305,Sandlin,justic,Spring 2018,Principles of Justice Studies,arizona state university-tempe
3,JUS 405,Broberg,justic,Spring 2018,"Inequality, Economy & Justice",arizona state university-tempe
3,JUS 444,"Glover, Richter",justic,Spring 2018,Environment and Justice,arizona state university-tempe
3,JUS 463,Mexica,justic,Spring 2018,Discretionary Justice,arizona state university-tempe
3,JUS 468,Lauderdale,justic,Spring 2018,"Protest, Justice, Law & Media",arizona state university-tempe
3,JUS 494,Oliverio Lauderdale,justic,Spring 2018,"Topic: Music, Social Conflict, and Justice",arizona state university-tempe
3,JUS 509,Martin,justic,Spring 2018,Stat Problems/Justice Research,arizona state university-tempe
3,JUS 691,Arzubiaga,justic,Spring 2018,"Topic: Im/migrant and Refugee, Justice and Education",arizona state university-tempe
3,SGS 394,Peskin,justic,Spring 2018,Topic: Politics of Global Justice,arizona state university-tempe
3,SOS 310,DesRoches,justic,Spring 2018,"Equity, Justice & Sustainblity",arizona state university-tempe
6,SST 498,Chin,justic,Spring 2018,Topic: Justice and Praxis,arizona state university-tempe
3,LAW 210,Deatherage,law,Spring 2018,"Law, Culture and Community",arizona state university-tempe
3,LAW 210,Forst,law,Spring 2018,"Law, Culture and Community",arizona state university-tempe
3,LAW 480,Barnard,law,Spring 2018,"Business, Law and Society",arizona state university-tempe
3,LAW 480,Barnard,law,Spring 2018,"Business, Law and Society",arizona state university-tempe
3,FMP 417,Bernstein,legal,Spring 2018,"Bus & Legal in Entertainment
(SEM)",arizona state university-tempe
3,REL 381,Dickerson,moral,Spring 2018,Religion and Moral Issues,arizona state university-tempe
3,PSY 366,Meier,norm,Spring 2018,Abnormal Psychology,arizona state university-tempe
3,PSY 366,Cavanaugh Toft,norm,Spring 2018,Abnormal Psychology,arizona state university-tempe
3,PSY 366,Cavanaugh Toft,norm,Spring 2018,Abnormal Psychology,arizona state university-tempe
3,PSY 366,Lanphier,norm,Spring 2018,Abnormal Psychology,arizona state university-tempe
3,PSY 443,Cavanaugh Toft,norm,Spring 2018,Abnormal Child Psychology,arizona state university-tempe
3,PSY 443,Cavanaugh Toft,norm,Spring 2018,Abnormal Child Psychology,arizona state university-tempe
3,PSY 443,Hart,norm,Spring 2018,Abnormal Child Psychology,arizona state university-tempe
3,AIS 598,La Russo,philosoph,Spring 2018,Topic: Diné Leadership Philosophy and Governance,arizona state university-tempe
3,CEL 394,McNamara,philosoph,Spring 2018,Topic: Classical Political Philosophy & Statesmanship,arizona state university-tempe
3,ENG 394,Mox,philosoph,Spring 2018,Topic: Ethics of Hospitality in Literature and Philosophy,arizona state university-tempe
3,HON 394,Barca,philosoph,Spring 2018,"Topic: Animal Ethics in Literature, Philosophy, & Culture",arizona state university-tempe
3,HON 394,Mox,philosoph,Spring 2018,Topic: Ethics of Hospitality in Literature and Philosophy,arizona state university-tempe
3,HPS 314,Armendt,philosoph,Spring 2018,Philosophy of Science,arizona state university-tempe
3,HPS 314,Sterner,philosoph,Spring 2018,Philosophy of Science,arizona state university-tempe
3,HPS 512,Sterner,philosoph,Spring 2018,"Philosophy of Science
(SEM)",arizona state university-tempe
3,MTC 591,Stover,philosoph,Spring 2018,"Topic: Philosophies of Time and Process
(SEM)",arizona state university-tempe
3,PHI 101,Portmore,philosoph,Spring 2018,Introduction to Philosophy,arizona state university-tempe
3,PHI 300,Bolton,philosoph,Spring 2018,Philosophical Argument/Exposit,arizona state university-tempe
3,PHI 300,Botham,philosoph,Spring 2018,Philosophical Argument/Exposit,arizona state university-tempe
3,PHI 314,Armendt,philosoph,Spring 2018,Philosophy of Science,arizona state university-tempe
3,PHI 314,Sterner,philosoph,Spring 2018,Philosophy of Science,arizona state university-tempe
3,PHI 329,Calhoun,philosoph,Spring 2018,History of Modern Philosophy,arizona state university-tempe
3,PHI 331,Pinillos,philosoph,Spring 2018,Philosophy of Language,arizona state university-tempe
3,PHI 339,de Marneffe,philosoph,Spring 2018,Philosophy of Art,arizona state university-tempe
3,PHI 420,Kobes,philosoph,Spring 2018,"Topic: Philosophy of Mind: Consciousness
(SEM)",arizona state university-tempe
3,ASB 463,Cruz-Torres,polit,Spring 2018,Politic Ecology of the Border,arizona state university-tempe
3,CEL 194,Taliaferro,polit,Spring 2018,Topic: Great Ideas of Politics and Ethics,arizona state university-tempe
3,CEL 394,McNamara,polit,Spring 2018,Topic: Classical Political Philosophy & Statesmanship,arizona state university-tempe
3,CEL 394,Drummond,polit,Spring 2018,Topic: Mod Political Thght:Orgns & Debats abt Mod Librty,arizona state university-tempe
3,CEL 394,Wright,polit,Spring 2018,Topic: Politics & Leadership in the Age of Revolution,arizona state university-tempe
3,ENG 429,Orlich,polit,Spring 2018,Topic: Politics & Culture in European Short Fiction,arizona state university-tempe
3,ESS 502,Bolin,polit,Spring 2018,Politicl Ecology: Thry & Rsrc,arizona state university-tempe
3,FIS 308,Zachary,polit,Spring 2018,"Politics, Markets, and Innovat",arizona state university-tempe
3,GTD 503,Grossman,polit,Spring 2018,"Tech & the Intl Political Syst
(SEM)",arizona state university-tempe
4,HSD 602,Fisher,polit,Spring 2018,"HSD II:Science Power&Politics
(SEM)",arizona state university-tempe
3,HST 306,Critchlow,polit,Spring 2018,Topic: American Political Conspiracy,arizona state university-tempe
3,HST 306,Critchlow,polit,Spring 2018,Topic: Terrorism in U.S. Political History,arizona state university-tempe
3,HST 414,Critchlow,polit,Spring 2018,"Political Thought/Leadership
(SEM)",arizona state university-tempe
3,JUS 352,Haglund,polit,Spring 2018,Global Politics of HumanRights,arizona state university-tempe
3,MHL 394,Martinez Figueroa,polit,Spring 2018,Topic: Music and Politics at the US/Mexico Border,arizona state university-tempe
3,POS 110,Herrera,polit,Spring 2018,Government and Politics,arizona state university-tempe
3,POS 160,Ripley,polit,Spring 2018,Global Politics,arizona state university-tempe
3,POS 210,Kirkpatrick,polit,Spring 2018,Political Ideologies,arizona state university-tempe
3,POS 301,Woodall,polit,Spring 2018,Empirical Political Inquiry,arizona state university-tempe
3,POS 341,Simhony,polit,Spring 2018,History of Political Phil II,arizona state university-tempe
3,POS 350,Shair-Rosenfield,polit,Spring 2018,Comparative Politics,arizona state university-tempe
3,POS 359,Iheduru,polit,Spring 2018,African Politics and Society,arizona state university-tempe
3,POS 360,Wright,polit,Spring 2018,World Politics,arizona state university-tempe
3,POS 394,Kao,polit,Spring 2018,Topic: History & Politics of the United Nations: Model ll,arizona state university-tempe
3,POS 394,Fessenden,polit,Spring 2018,Topic: Issues in Religion and Politics,arizona state university-tempe
3,POS 394,Staff,polit,Spring 2018,Topic: Political Parties in Contemporary Britain,arizona state university-tempe
3,POS 401,Fridkin,polit,Spring 2018,Political Statistics,arizona state university-tempe
3,POS 414,Critchlow,polit,Spring 2018,"Political Thought/Leadership
(SEM)",arizona state university-tempe
3,POS 439,Hero,polit,Spring 2018,Minority Grp Politics America,arizona state university-tempe
3,POS 442,Kirkpatrick,polit,Spring 2018,American Political Thought,arizona state university-tempe
3,POS 443,Simhony,polit,Spring 2018,Contemporary Political Theory,arizona state university-tempe
3,POS 485,Thomson,polit,Spring 2018,Political Economy,arizona state university-tempe
3,POS 486,Iheduru,polit,Spring 2018,Internatl Political Economy,arizona state university-tempe
3,POS 598,Kittilson,polit,Spring 2018,Topic: Comparative Political Behavior,arizona state university-tempe
4,POS 672,Fisher,polit,Spring 2018,"HSD II:Science Power&Politics
(SEM)",arizona state university-tempe
3,REL 394,Fessenden,polit,Spring 2018,Topic: Issues in Religion and Politics,arizona state university-tempe
3,SGS 305,Woodall,polit,Spring 2018,Empirical Political Inquiry,arizona state university-tempe
3,SGS 370,Sivak,polit,Spring 2018,Geopolitics,arizona state university-tempe
3,SGS 394,Peskin,polit,Spring 2018,Topic: Politics of Global Justice,arizona state university-tempe
